date,macd,signal,hist,merged_signal
2022-06-14,-0.0528259511790167,-0.0510387818738524,-0.0017871693051643,
2022-06-15,-0.0106802336291957,-0.0429670722249211,0.0322868385957253,buy
2022-06-16,-0.0062563212054991,-0.0356249220210367,0.0293686008155376,
2022-06-17,-0.0314369445635085,-0.0347873265295311,0.0033503819660225,
2022-06-20,-0.0492116558033899,-0.0376721923843028,-0.011539463419087,sell
2022-06-21,-0.0442293166801812,-0.0389836172434785,-0.0052456994367027,
2022-06-22,-0.0039243009377223,-0.0319717539823273,0.0280474530446049,buy
2022-06-23,0.0253052618341493,-0.0205163508190319,0.0458216126531813,
2022-06-24,0.0542993037570225,-0.005553219903821,0.0598525236608435,
2022-06-27,0.0971373787250042,0.0149848998219439,0.0821524789030602,
2022-06-28,0.0944932792984944,0.0308865757172541,0.0636067035812403,
2022-06-29,0.0642223378184834,0.0375537281374999,0.0266686096809834,
2022-06-30,0.0278080977664103,0.035604602063282,-0.0077965042968716,sell
2022-07-01,0.0165113786627486,0.0317859573831753,-0.0152745787204267,
2022-07-04,0.0010907425711303,0.0256469144207663,-0.0245561718496359,
2022-07-05,0.0041533126694792,0.0213481940705089,-0.0171948814010296,
2022-07-06,0.0041122685850583,0.0179010089734188,-0.0137887403883605,
2022-07-07,0.0431215671675184,0.0229451206122387,0.0201764465552797,buy
2022-07-08,0.0333069541803583,0.0250174873258626,0.0082894668544956,
2022-07-11,0.0244401553536048,0.0249020209314111,-0.0004618655778062,sell
2022-07-12,0.0259896416818907,0.025119545081507,0.0008700966003837,buy
2022-07-13,0.0444573059940021,0.028987097264006,0.015470208729996,
2022-07-14,0.1078783272528465,0.0447653432617741,0.0631129839910723,
2022-07-15,0.1555400581279782,0.0669202862350149,0.0886197718929632,
2022-07-18,0.1871207298036177,0.0909603749487355,0.0961603548548822,
2022-07-19,0.2073378289249454,0.1142358657439775,0.0931019631809679,
2022-07-20,0.2630938145165853,0.144007455498499,0.1190863590180862,
2022-07-21,0.2926109677349178,0.1737281579457828,0.1188828097891349,
2022-07-22,0.2733140254673998,0.1936453314501062,0.0796686940172935,
2022-07-25,0.2853940390701446,0.2119950729741139,0.0733989660960307,
