date,macd,signal,hist,merged_signal
2022-05-17,-31.672759238674303,-37.84719385027975,6.174434611605449,
2022-05-18,-30.49185662018874,-36.37612640426155,5.884269784072806,
2022-05-19,-29.42816531943584,-34.98653418729641,5.5583688678605725,
2022-05-20,-28.603242900675696,-33.70987592997226,5.106633029296567,
2022-05-23,-28.452625701924376,-32.658425884362686,4.20580018243831,
2022-05-24,-27.309177746185583,-31.588576256727265,4.279398510541682,
2022-05-25,-26.82802418831409,-30.63646584304464,3.808441654730544,
2022-05-26,-27.01722839011484,-29.91261835245868,2.895389962343838,
2022-05-27,-26.00959944975807,-29.13201457191856,3.1224151221604863,
2022-05-30,-25.76613404691716,-28.45883846691828,2.692704420001121,
2022-05-31,-24.28061404130773,-27.623193581796173,3.342579540488444,
2022-06-01,-22.8360543327384,-26.665765731984617,3.829711399246218,
2022-06-02,-20.351159354996184,-25.402844456586934,5.051685101590749,
2022-06-03,-18.42685520599593,-24.007646606468736,5.580791400472801,
2022-06-06,-16.37337639745158,-22.480792564665308,6.107416167213728,
2022-06-07,-14.949672186797727,-20.974568489091794,6.024896302294067,
2022-06-08,-12.914010230453016,-19.36245683736404,6.448446606911023,
2022-06-09,-10.192349036958376,-17.528435277282906,7.33608624032453,
2022-06-10,-7.572901104312052,-15.537328442688736,7.964427338376684,
2022-06-13,-6.320594021990189,-13.693981558549028,7.373387536558837,
2022-06-14,-5.122227002826435,-11.979630647404507,6.857403644578074,
2022-06-15,-4.597213218549086,-10.503147161633423,5.905933943084339,
2022-06-16,-3.5208381656988195,-9.106685362446504,5.585847196747686,
2022-06-17,-3.463839612432025,-7.97811621244361,4.514276600011585,
2022-06-20,-3.607059097907552,-7.103904789536399,3.496845691628847,
2022-06-21,-4.783005314756963,-6.639724894580512,1.8567195798235487,
2022-06-22,-5.949766535197284,-6.501733222703867,0.5519666875065825,
2022-06-23,-7.289881263061432,-6.65936283077538,-0.6305184322860518,sell
2022-06-24,-8.41948817220782,-7.0113878990618685,-1.4081002731459522,
2022-06-27,-9.8036589623116,-7.569842111711816,-2.2338168505997853,
2022-06-28,-11.972184123078875,-8.450310513985228,-3.521873609093648,
2022-06-29,-14.476844187804431,-9.655617248749069,-4.821226939055363,
2022-06-30,-17.506685045491963,-11.225830808097648,-6.280854237394316,
2022-07-01,-19.37705397905916,-12.85607544228995,-6.520978536769206,
