date,macd,signal,hist,merged_signal
2022-07-26,10.40326915417006,6.612452180172294,3.7908169739977673,
2022-07-27,10.500735560211696,7.390108856180175,3.110626704031519,
2022-07-28,9.290366099871562,7.770160304918453,1.5202057949531094,
2022-07-29,8.640642265133607,7.944256696961484,0.6963855681721229,
2022-08-01,7.923045046861603,7.940014366941508,-0.0169693200799052,sell
2022-08-02,6.964209106085974,7.744853314770401,-0.7806442086844267,
2022-08-03,5.664560330765056,7.328794717969332,-1.6642343872042762,
2022-08-04,4.8705385229692695,6.83714347896932,-1.966604956000051,
2022-08-05,4.421882821443006,6.354091347464058,-1.932208526021052,
2022-08-08,3.8516610288347977,5.853605283738206,-2.0019442549034085,
2022-08-09,4.224146393271809,5.527713505644927,-1.303567112373118,
2022-08-10,5.017470865200835,5.425664977556109,-0.4081941123552743,
2022-08-11,5.89375105414581,5.51928219287405,0.3744688612717599,buy
2022-08-12,6.4158081702235,5.69858738834394,0.7172207818795595,
2022-08-15,7.478436301962802,6.054557171067712,1.4238791308950898,
2022-08-16,8.357379296323018,6.515121596118774,1.842257700204244,
2022-08-17,8.572649399638635,6.926627156822746,1.6460222428158895,
2022-08-18,8.338884957511112,7.20907871696042,1.1298062405506926,
2022-08-19,8.547315836670293,7.476726140902395,1.0705896957678984,
2022-08-22,6.612527313656358,7.303886375453188,-0.6913590617968302,sell
2022-08-23,5.259829441623708,6.895074988687292,-1.635245547063584,
2022-08-24,4.1743843345710445,6.350936857864044,-2.176552523292999,
2022-08-25,3.6409514520133257,5.808939776693901,-2.167988324680575,
2022-08-26,2.2657439063967217,5.100300602634465,-2.834556696237743,
2022-08-29,2.2051027363962703,4.521261029386826,-2.316158292990556,
2022-08-30,2.038331418174863,4.024675107144434,-1.986343688969571,
2022-08-31,1.906777463235926,3.6010955783627328,-1.6943181151268067,
2022-09-01,0.3173630830046932,2.944349079291125,-2.626985996286432,
2022-09-02,-0.9498688454727642,2.165505494338348,-3.115374339811112,
2022-09-05,-2.6139409393457527,1.2096162076015275,-3.82355714694728,
2022-09-06,-3.3438670420742085,0.2989195576663803,-3.642786599740589,
2022-09-07,-4.170403253134168,-0.5949450044937294,-3.5754582486404387,
2022-09-08,-4.922813068031417,-1.460518617201267,-3.4622944508301496,
2022-09-09,-6.7158086430303285,-2.5115766223670795,-4.204232020663249,
2022-09-12,-7.746493966541948,-3.558560091202053,-4.187933875339895,
2022-09-13,-7.956785955429495,-4.438205264047542,-3.518580691381953,
