date,open,high,low,close,volume,sma_20,upper_bb,lower_bb,merged_signal
2024-02-02,179.86,187.33,179.25,185.85,102551680.0,185.85,,,nan
2024-02-01,183.985,186.95,183.82,186.86,64885408.0,186.35500000000002,187.78335569799685,184.92664430200318,nan
2024-01-31,187.04,187.095,184.35,184.4,55467803.0,185.70333333333335,188.17641508154415,183.23025158512255,nan
2024-01-30,190.94,191.8,187.47,188.04,55859370.0,186.2875,189.3757735198381,183.19922648016188,nan
2024-01-29,192.01,192.2,189.58,191.73,47145622.0,187.376,192.9302524249443,181.8217475750557,nan
2024-01-26,194.27,194.76,191.94,192.42,44594011.0,188.21666666666667,194.669655638195,181.76367769513834,nan
2024-01-25,195.22,196.2675,193.1125,194.17,54822126.0,189.06714285714287,196.48020982734903,181.6540758869367,nan
2024-01-24,195.42,196.38,194.34,194.5,53463269.0,189.74625,197.6114277747595,181.8810722252405,nan
2024-01-23,195.02,195.75,193.8299,195.18,42355590.0,190.35000000000002,198.55066460721326,182.14933539278678,nan
2024-01-22,192.3,195.33,192.26,193.89,60133852.0,190.704,198.75329921035225,182.65470078964776,nan
2024-01-19,189.33,191.95,188.82,191.56,68902985.0,190.78181818181818,198.4354804068282,183.12815595680817,nan
2024-01-18,186.09,189.14,185.83,188.63,78005754.0,190.6025,198.00497685821193,183.20002314178805,nan
2024-01-17,181.27,182.93,180.3,182.68,47317433.0,189.9930769230769,198.3323150362196,181.6538388099342,nan
2024-01-16,182.16,184.26,180.934,183.63,65603041.0,189.53857142857143,198.24268842843148,180.83445442871138,nan
2024-01-12,186.06,186.74,185.19,185.92,40477782.0,189.29733333333334,197.8904617065217,180.70420496014498,nan
2024-01-11,186.54,187.05,183.62,185.59,49128408.0,189.065625,197.57180775138738,180.55944224861264,nan
2024-01-10,184.35,186.4,183.92,186.19,46792908.0,188.89647058823527,197.24983201096944,180.5431091655011,nan
2024-01-09,183.92,185.15,182.73,185.14,42841809.0,188.6877777777778,196.9829459122453,180.3926096433103,nan
2024-01-08,182.085,185.6,181.5,185.56,59144470.0,188.52315789473684,196.71135821968025,180.33495756979343,nan
2024-01-05,181.99,182.76,180.17,181.18,62196924.0,188.156,196.77587519753348,179.53612480246653,nan
2024-01-04,182.15,183.0872,180.88,181.91,71983570.0,187.959,196.97190746943693,178.94609253056308,nan
2024-01-03,184.22,185.88,183.43,184.25,58414460.0,187.8285,196.982879509859,178.67412049014098,nan
2024-01-02,187.15,188.44,183.885,185.64,82488674.0,187.8905,196.9635450409876,178.8174549590124,nan
2023-12-29,193.9,194.4,191.725,192.53,42672148.0,188.11499999999998,197.42278169060705,178.8072183093929,nan
